Bordereau_Date|MGA_CODE|Policy_Number|Policy_Effective_Date|Policy_Expiration_Date|Tax_Surcharge_State|Tax_Surchage_Code|Tax_Surchage_Amount|TFS_Amount_Currency|Endorsement_Sequence_Number|Starr_Collectible_Ind
2015-07-31|M01001|SIGCP727|2014-04-10|2015-04-10|NJ|10016|-10.00|USD|2|101
2015-07-31|M01001|SIGCM741|2014-05-12|2015-05-12|NJ|10016|-5.00|USD|1|101
2015-07-31|M01001|SIGCM808|2015-07-01|2016-07-01|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP817|2014-06-11|2015-06-11|NJ|10016|7.00|USD|1|101
2015-07-31|M01001|SIGCP817|2015-06-11|2016-06-11|NJ|10016|6.00|USD|1|101
2015-07-31|M01001|SIGCP869|2015-07-08|2016-07-08|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGCM970|2015-07-01|2016-07-01|NJ|10016|34.00|USD|0|101
2015-07-31|M01001|SIGB1084|2015-06-28|2016-06-28|NJ|10016|1.00|USD|0|101
2015-07-31|M01001|SIGB1122|2015-07-01|2016-07-01|NJ|10016|48.00|USD|0|101
2015-07-31|M01001|SIGCP1240|2015-07-17|2016-07-17|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGB1284|2015-07-20|2016-07-20|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGB1364|2015-07-30|2016-07-30|NJ|10016|66.00|USD|0|101
2015-07-31|M01001|SIGCP1517|2015-07-15|2016-07-15|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP2383|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGGL2435|2015-07-27|2016-07-27|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP4644|2015-07-01|2016-07-01|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP4649|2015-07-08|2016-07-08|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP4657|2015-07-11|2016-07-11|NJ|10016|77.00|USD|0|101
2015-07-31|M01001|SIGCP4659|2015-07-12|2016-07-12|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP4660|2015-07-12|2016-07-12|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCP4667|2015-07-18|2016-07-18|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP4668|2015-07-21|2016-07-21|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP4722|2015-07-24|2016-07-24|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP4726|2015-07-30|2016-07-30|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP4866|2015-07-28|2016-07-28|NJ|10016|22.00|USD|0|101
2015-07-31|M01001|SIGCP4931|2015-07-23|2016-07-23|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP4938|2015-07-31|2016-07-31|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP4986|2015-07-11|2016-07-11|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGB5001|2015-07-12|2016-07-12|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGB5013|2015-07-25|2016-07-25|NJ|10016|27.00|USD|0|101
2015-07-31|M01001|SIGB5068|2015-07-05|2016-07-05|NJ|10016|19.00|USD|0|101
2015-07-31|M01001|SIGUM5071|2015-07-05|2016-07-05|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGBR5149|2015-07-22|2016-07-22|NJ|10016|29.00|USD|0|101
2015-07-31|M01001|SIGB5176|2015-07-07|2016-07-07|NJ|10016|49.00|USD|0|101
2015-07-31|M01001|SIGB5484|2014-10-01|2015-10-01|NJ|10016|-4.00|USD|0|101
2015-07-31|M01001|SIGIM6720|2015-03-30|2016-03-30|NJ|10016|-1.00|USD|1|101
2015-07-31|M01001|SIGCM6755|2015-07-13|2016-07-13|NJ|10016|694.00|USD|0|101
2015-07-31|M01001|SIGCM6970|2015-07-06|2016-07-06|NJ|10016|46.00|USD|0|101
2015-07-31|M01001|SIGGL6976|2015-07-23|2016-07-23|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGB7472|2015-03-21|2016-03-21|NJ|10016|1.00|USD|0|101
2015-07-31|M01001|SIGB8700|2015-07-10|2016-07-10|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGBR8701|2015-07-14|2016-07-14|NJ|10016|56.00|USD|0|101
2015-07-31|M01001|SIGB8735|2015-07-10|2016-07-10|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGB8764|2015-07-07|2016-07-07|NJ|10016|128.00|USD|0|101
2015-07-31|M01001|SIGB8764|2015-07-07|2016-07-07|NJ|10016|4.00|USD|0|101
2015-07-31|M01001|SIGB8779|2015-07-20|2016-07-20|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP8800|2015-07-06|2016-07-06|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP8869|2015-07-27|2016-07-27|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGB8901|2015-07-17|2016-07-17|NJ|10016|49.00|USD|0|101
2015-07-31|M01001|SIGB8902|2015-07-17|2016-07-17|NJ|10016|26.00|USD|0|101
2015-07-31|M01001|SIGUM8903|2015-07-17|2016-07-17|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCA11651|2015-07-01|2016-07-01|NJ|10016|82.00|USD|0|101
2015-07-31|M01001|SIGCP11704|2015-07-01|2016-07-01|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGB11719|2015-07-01|2016-07-01|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGCP11731|2015-07-25|2016-07-25|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGB11760|2015-07-20|2016-07-20|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGB11803|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB11833|2015-07-11|2016-07-11|NJ|10016|5.00|USD|0|101
